Method 1
Diameter;2
Node;Betwenness;Closeness;Transitivity;Shortest path
65;17.730811;0.693642;0.644052;6062162624535289865252413545926598068145040104720444458366005532392575943864866135064347699295141060534163424106350122148584021594690719456166424468258816.000000
66;14.187643;0.697674;0.703687;0.000000
67;18.538430;0.705882;0.654244;1.000000
68;7.337657;0.666667;0.801695;40.000000
69;40.254152;0.863309;0.656634;1.000000
70;11.877571;0.674157;0.701745;41.000000
71;10.065477;0.659341;0.717483;1.000000
72;11.983619;0.670391;0.702732;44.000000
73;15.440865;0.677966;0.641577;1.000000
74;7.557687;0.645161;0.739343;0.000000
75;21.037423;0.718563;0.652588;0.000000
76;10.687560;0.674157;0.718667;0.000000
77;10.855547;0.652174;0.689610;0.000000
78;14.367979;0.693642;0.701040;0.000000
79;20.122783;0.710059;0.639034;0.000000
80;42.318370;0.857143;0.635152;0.000000
81;41.036840;0.851064;0.642960;0.000000
82;15.513585;0.697674;0.682616;0.000000
83;8.701537;0.652174;0.728571;0.000000
84;13.657086;0.674157;0.665785;0.000000
85;60.595421;0.960000;0.625477;0.000000
86;32.980560;0.800000;0.644694;0.000000
87;12.430315;0.685714;0.711058;0.000000
88;41.970174;0.863309;0.646931;0.000000
89;44.815080;0.875912;0.644965;1.000000
90;15.747138;0.689655;0.664802;59.000000
91;55.926861;0.930233;0.627846;1.000000
92;13.951974;0.701754;0.711850;60.000000
93;15.414754;0.670391;0.620219;1.000000
94;18.986229;0.718563;0.686073;0.000000
95;16.363111;0.714286;0.702660;0.000000
96;16.844001;0.710059;0.675252;0.000000
97;51.488715;0.916031;0.636256;23407172596079787517086246952980446230238913461589235514733676076262789960746778583376980065600920689652622220119116681959766635967818002258206973454206634835869073736285225724267253973994202722869528640863065509153512228973848788637773204696334336.000000
98;10.098497;0.655738;0.695489;-0.000000
99;22.820830;0.754717;0.672531;-0.000000
100;13.968522;0.674157;0.650449;0.000000
101;15.393450;0.681818;0.649306;-0.000000
102;11.922519;0.670391;0.692896;44926068396028202168675518894851232012521923326760190727043911232657668339549217431349423561282458852086267174191479018890289632223409374418191128695242255020263701766868410904697066487808.000000
103;13.382458;0.674157;0.674246;0.000000
104;13.435818;0.685714;0.681731;0.000000
105;34.640342;0.821918;0.659346;0.000000
106;7.951343;0.648649;0.738721;0.000000
107;11.293051;0.648649;0.671380;-1260087501352103910393064204087160421305552834521718488373356282994776430921239841912108679781865356152336048283803928437828163954465157430441543919568084513036798930281106489829962739880528534797502269333202320035442294045690941414261653504.000000
108;21.551147;0.710059;0.617706;0.000000
109;9.023542;0.674157;0.780539;1.000000
110;10.162359;0.655738;0.696115;79.000000
111;14.696461;0.701754;0.698210;1.000000
112;11.287969;0.662983;0.678551;80.000000
113;8.646876;0.655738;0.743734;1.000000
114;23.386913;0.745342;0.654658;0.000000
115;18.842003;0.736196;0.683527;0.000000
116;15.828615;0.677966;0.636457;0.000000
117;21.643464;0.759494;0.685637;0.000000
118;13.048436;0.697674;0.724320;89.000000
119;9.734654;0.645161;0.677848;91.000000
120;8.764972;0.645161;0.705800;0.000000

Method 2
Diameter;2
Node;Betwenness;Closeness;Transitivity;Shortest path
0;2.748786;0.962264;0.906463;1200.000000
1;2.526693;0.927273;0.906568;126.000000
2;3.169249;1.000000;0.901176;0.000000
3;2.669012;0.927273;0.901943;0.000000
4;2.060610;0.879310;0.912262;1.000000
5;3.169249;1.000000;0.901176;3.000000
6;1.919500;0.850000;0.910569;4.000000
7;2.599187;0.927273;0.903793;8.000000
8;2.799791;0.944444;0.901596;12.000000
9;1.873630;0.850000;0.911731;18.000000
10;2.095978;0.879310;0.911205;23.000000
11;2.738629;0.962264;0.906463;29.000000
12;2.757216;0.910714;0.894686;37.000000
13;2.532151;0.927273;0.906568;41.000000
14;2.652926;0.910714;0.898551;51.000000
15;1.676127;0.822581;0.912821;63.000000
16;1.666088;0.850000;0.922184;71.000000
17;2.628091;0.927273;0.902868;80.000000
18;1.939243;0.864407;0.913621;88.000000
19;2.639767;0.962264;0.909864;99.000000
20;3.169249;1.000000;0.901176;111.000000
21;2.508159;0.927273;0.907493;126.000000
22;2.844024;0.962264;0.903912;138.000000
23;2.144845;0.879310;0.910148;156.000000
24;2.265475;0.879310;0.903805;173.000000
25;3.169249;1.000000;0.901176;190.000000
26;1.839784;0.850000;0.914053;210.000000
27;1.717678;0.850000;0.918699;226.000000
28;2.293444;0.850000;0.894309;247.000000
29;3.054461;0.980769;0.901224;262.000000
30;2.512681;0.927273;0.907493;280.000000
31;2.868570;0.962264;0.903061;306.000000
32;2.693879;0.944444;0.905142;323.000000
33;2.276323;0.910714;0.912077;346.000000
34;3.169249;1.000000;0.901176;369.000000
35;1.755161;0.850000;0.917538;382.000000
36;1.873175;0.850000;0.912892;408.000000
37;2.396863;0.927273;0.911193;427.000000
38;2.106592;0.864407;0.905869;454.000000
39;1.717678;0.850000;0.918699;475.000000
40;2.690905;0.962264;0.908163;499.000000
41;2.638686;0.944444;0.906915;518.000000
42;2.833464;0.962264;0.903912;556.000000
43;2.243226;0.927273;0.915819;579.000000
44;2.732972;0.962264;0.907313;610.000000
45;2.442989;0.927273;0.910268;635.000000
46;2.381169;0.927273;0.911193;659.000000
47;1.718451;0.864407;0.922481;688.000000
48;1.847700;0.864407;0.916944;718.000000
49;2.488523;0.927273;0.908418;736.000000
50;2.617859;0.944444;0.907801;769.000000
51;2.125593;0.864407;0.906977;791.000000

